store_info_id,create_time,score,content
0,2022/08/29,999,正宗阿桑大腸麵線｜網路評價４.５顆星評價爆高的大腸麵線店
0,2020/12/20,5.0,好吃😋
0,2020/10/30,3.5,泉州街麵線佳鑫檸檬:尚玩家推薦運將的私密銅板美-台北古亭
0,2019/11/13,999,料多實在金吉檸檬好喝
0,2020/08/03,999,網友激推最有台味的古早味下午茶套餐!!每天都是滿滿人潮
0,2020/06/10,4.0,阿桑蚵仔麵線、佳鑫金吉檸檬：泉州街三寶之二，運將最愛美 /白鍾元街頭美鬥士
0,2020/03/14,999,佳鑫麵線佳鑫檸檬．台北泉州街｜吃香腸配麵線喝金桔檸檬．台北最脆大腸麵線．清爽回甘金桔檸檬！
0,2019/11/06,5.0,
0,2019/11/04,999,白鍾元推薦的台北阿桑蚵仔麵線、佳鑫金吉檸檬｜泉州街美、司機運將美｜209韓國街頭美鬥士台灣篇
0,2015/10/14,999,佳鑫檸檬蚵仔麵線藏身巷弄的美味飲品小吃！！
0,2009/11/01,999,阿桑蚵仔麵線&佳鑫金桔檸檬
1,2022/08/29,5.0,台北平價燒烤火鍋吃到飽  天使紅蝦、生蠔、啤酒無限暢飲 還有哈根達斯、Cold Stone冰淇淋!
1,2022/08/17,999,公館吃到飽-瓦崎燒烤火鍋吃到飽公館店搬遷新址，599元起多種肉品海鮮、生啤、沙瓦與知名品冰淇淋通通讓你吃到飽
1,2019/11/18,3.5,還行
1,2017/05/30,1.0,服務超爛！服務人員臉不知道再臭幾點的！加點菜單還會用不見！死也不會再來第二次！
1,2022/06/28,4.5,"瓦崎燒烤火鍋-公館店~平價燒肉.火鍋吃到飽,頂級嚴選材,嘉士伯生啤酒、哈根達斯無限供應,大安區最高CP值！"
1,2021/09/08,999,公館燒烤吃到飽-瓦崎燒烤火鍋搬家啦~火烤兩吃+天使紅蝦.生蠔.安格斯黑牛.生啤無限暢飲
1,2020/04/28,4.5,瓦崎燒烤火鍋公館店10週年！頂級材只要驚喜價599元！挑戰全台最高CP值火烤兩吃｜公館燒烤吃到飽
1,2019/10/28,4.0,瓦崎燒烤火鍋火烤兩吃吃到飽澳洲M8和牛牛小排新鮮生蠔大隻虎蝦隨你吃
1,2019/10/24,999,瓦崎燒烤火鍋公館店~公館燒烤✖️火鍋吃到飽公館商圈/台大商圈-捷運公館站
1,2019/09/23,4.0,瓦崎燒烤火鍋#燒烤#火鍋#公館商圈#公館吃到飽#台北吃到飽#公館美
1,2019/05/14,999,瓦崎燒烤火鍋～龍蝦、生蠔、和牛、伊比利梅花豬，還有啤酒免費暢飲
1,2019/04/27,5.0,瓦崎燒烤火鍋M8澳洲和牛吃到飽還有海虎蝦龍蝦生啤酒暢飲心得
1,2019/04/20,5.0,瓦崎燒烤火鍋-公館店～現點現切的嚴選頂級肉品和海鮮，還有升級版青龍龍蝦、巨無霸海虎蝦等豪華海陸！四種價位吃到嗨！火烤兩吃吃到飽
1,2019/03/25,999,台北老字號吃到飽《瓦崎燒烤火鍋》天使紅蝦、生蠔還有Prime無骨牛小排隨便你吃
1,2017/08/15,999,公館吃到飽瓦崎燒肉火鍋啤酒天使紅蝦哈根達斯無限量供應~學生最愛
