title,username,date,star,reviews
Coppii Lumii living coffee 冉冉生活(城中),Cloudfoodie愛食記部落客(76篇食記),2022/08/22,4.5,台北美｜早晨咖啡、午間餐點、甜點輕 盡在Coppii Lumii｜西門不限時咖啡廳推薦 – Cloudfoodie    雲旅日常
Coppii Lumii living coffee 冉冉生活(城中),"黛西優齁齁, 旅行狂愛食記部落客(1158篇食記)",2022/08/11,999,冉冉生活 Coppii Lumii living coffee 城中店｜肉桂捲、咖啡香，舒適的空間但太吵。
Coppii Lumii living coffee 冉冉生活(城中),ㄩㄐ吃透透 (注音符號的ㄩㄐ)愛食記部落客(272篇食記),2021/11/16,4.0,白天的好時光自由搭配早午餐萬歲！
北棲 邸家,丸の良食｜neru.foodie愛食記部落客(580篇食記),2022/08/22,4.0,北棲邸家｜忠孝新生周邊小推薦
北棲 邸家,Christine Chang愛食記部落客(102篇食記),2022/05/02,4.5,北棲邸家North House 低油少鹽的創意美味台式定料理 捷運站善導寺 忠孝新生站美推薦 寵物友善餐廳
北棲 邸家,Ireneの美食鋪子愛食記部落客(1264篇食記),2022/02/05,999,【北棲邸家】多樣化中式套餐料理~表現很優秀!!(忠孝新生站美)
北棲 邸家,省錢王Jet吃喝玩樂趣愛食記部落客(1478篇食記),2022/01/09,5.0,北棲邸家～2022華山看展美推薦～連平日中午大爆滿！華山文創園區美推薦！精緻台式套餐料好實在吃起來！2022北棲邸家菜單 
北棲 邸家,勺勺吃喝玩樂愛食記部落客(158篇食記),2022/01/06,4.0,北棲邸家｜華山文創園區美｜捷運善導寺站附近美推薦｜捷運忠孝新生站附近美推薦｜台北健康簡餐｜華山文創園區台式精緻定店
金雞園,女子的休假計劃愛食記部落客(900篇食記),2022/08/21,3.5,台北：平價江浙點心多達70多種品項，蒸籠點心、紅豆鬆糕、八寶芋泥
金雞園,布雷克的世界愛食記部落客(717篇食記),2022/03/24,999,金雞園｜公館學生與上班族愛來的平價江浙點心，業近50年就靠菜單上超過70種菜色
金雞園,許錦秀金級會員(79則評論),2017/05/13,3.5,炸雞腿還不錯，湯包ok
金雞園,Jeremy以食為天愛食記部落客(1074篇食記),2020/01/05,4.5,金雞園--平價美味又CP值高的中式蒸籠小點、麵和甜點
金雞園,Kao空食客愛食記部落客(743篇食記),2019/10/07,3.0,金雞園-浙江點心台大校園老字號小籠包燒賣現蒸現賣@台北公館 
金雞園,陳皮的日常紫級會員(187則評論),2018/08/18,3.5,金雞園排骨飯各式酥皮叉燒樣樣好吃捷運公館站道地台灣傳統風味台大學生
金雞園,Maruko與美食有個約會愛食記部落客(1402篇食記),2010/10/14,999,金雞園平價的好味道‧台北公館
金雞園,Yuki的美食旅行小日子愛食記部落客(783篇食記),2010/08/22,999,公館 金雞園＊平價的江浙點心
金雞園,OldFather愛食記部落客(998篇食記),2008/11/22,999,[] 永和鍋寶&公館金雞園
陳記燒臘,鍾愛銅板美食的貪吃鬼愛食記部落客(845篇食記),2022/08/21,4.0,好像叫陳的燒臘都很厲害 陳燒臘
陳記燒臘,布咕布咕美食小天地愛食記部落客(2365篇食記),2020/11/11,999,陳燒臘-吃了會讓人讚不絕口的超人氣燒臘便當店
陳記燒臘,Olivia Chang(1則評論),2019/06/12,999,普通
陳記燒臘,葉癮評饗愛食記部落客(1659篇食記),2020/07/20,999,香港陳燒臘快餐便當│濟南路上人氣燒臘便當！ 濟南路燒臘、忠孝新生美
陳記燒臘,Nash，神之領域愛食記部落客(3048篇食記),2019/04/11,999,捷運忠孝新生美推薦|香港陳燒臘大碗便宜的美推薦(菜單價錢)
93番茄牛肉麵,Nini銀級會員(12則評論),2022/08/19,5.0,木須炒麵100元超大份，感覺可以兩人吃一碗，炸排骨65元真的愛了愛了，感覺這家的排骨贏過隔壁的青島排骨了，難怪高朋滿座
93番茄牛肉麵,加小菲愛碎碎唸愛食記部落客(708篇食記),2022/07/26,999,"一盤抵兩盤的超狂木須炒麵,只有平日晚上和周六吃得到,炸排骨也是必點古早味♥93蕃茄牛肉麵♥"
93番茄牛肉麵,Angelababy享樂日記愛食記部落客(2889篇食記),2022/07/09,999,善導寺站美｜超強木須炒麵推薦『9蕃茄牛肉麵』菜單、大份量美、好吃炸排骨
93番茄牛肉麵, Liubr紫級會員(204則評論),2022/07/07,4.0,番茄湯鮮、牛肉嫩，排骨厚實肉鮮甜，更勝一籌
93番茄牛肉麵,水晶安蹄愛食記部落客(2146篇食記),2022/06/27,999,【台北】善導寺站｜93蕃茄刀削牛肉麵，湯鮮甜肉大塊，還有酥香現炸排骨
93番茄牛肉麵,愛吃鬼芸芸愛食記部落客(3347篇食記),2021/02/23,999,93番茄牛肉麵，善導寺站超人氣名店，肉多又大塊，最愛木須炒麵！
93番茄牛肉麵,@Tiffoodany愛食記部落客(113篇食記),2021/02/04,4.5,捷運善導寺站｜平價手工麵館｜93蕃茄牛肉麵
93番茄牛肉麵,省錢王Jet吃喝玩樂趣愛食記部落客(1478篇食記),2020/08/04,3.5,寬厚Q彈刀削麵 晚上限量炒麵、炒餅料好實在 現炸排骨香噴噴-93番茄牛肉麵
