store_info_id,create_time,score,content
342,2022/03/13,5.0, N訪藏身在忠孝新生巷子裡的韓風咖啡廳，魷魚明太子起司烤餅好好吃！
342,2021/07/22,4.0,宛如踏在仁寺洞的氣息，咖啡店裡一碗熱呼呼泡菜湯-卡那達咖啡店 카페 가나다
342,2019/09/07,5.0,美味，很是舒服的一間店家
342,2021/01/13,999,韓國偶像迷必訪的韓國咖啡店『卡那達咖啡店(카페가나다)』、忠孝新生站隱藏版韓國世界、辣豆腐鍋、紫薯拿鐵
342,2019/05/18,999,台北中正區｜卡那達咖啡카페가나다，華山1914附近讓人慵懶一下午的韓國風格咖啡廳(附菜單)！
342,2019/01/18,3.5,卡那達咖啡有起司松葉蟹鉗！忠孝新生站旁韓國咖啡廳　下午茶必喝濟州島藍橙拿鐵
342,2017/10/17,999,台北忠孝新生 卡那達咖啡店 輕工業韓風咖啡館 低調的舒服感 
342,2017/01/15,999,卡那達咖啡店(카페가나다)✿韓風咖啡館x捷運忠孝新生附近咖啡廳
342,2016/08/01,999,台北▌忠孝新生站韓式咖啡店卡那達咖啡카페가나다/WIFI/不限時/插頭
342,2016/04/17,999,卡那達咖啡，忠孝新生站韓式咖啡廳，咖啡超超超好喝！@Jennifer養雞雞任務小姐
342,2016/04/14,999,卡那達카페가나다咖啡～設計感與溫馨兼具，餐點飲料有誠意的咖啡店
342,2015/01/29,999,忠孝新生站-韓國來的♥卡那達咖啡카페가나다
342,2015/01/06,999,卡那達咖啡카페가나다韓風咖啡店！姊妹下午茶聚會推薦！(近忠孝新生站)
342,2014/08/19,999,台北│卡那達韓國咖啡館 等一個人的咖啡必等之店! 只有這可以喝到韓風咖啡!
342,2013/11/29,999,忠孝新生‧卡那達咖啡(不是達卡比謝謝)
342,2013/08/14,999,卡那達咖啡~有許多韓國特色飲品的韓系咖啡館
342,2013/07/06,999,韓國文化、旅遊、音樂、生活的藝文空間 卡那達 CAFE (카페 가나다)
342,2013/06/25,999,卡那達咖啡카페가나다＊韓系風格咖啡(忠孝新生站)
342,2013/05/15,999,韓國咖啡館~卡那達咖啡店(카페가나다)
