store_info_id,create_time,score,content
341,2022/03/14,999,瓦法奇朵。台北車站高cp值火鍋。當月壽星幾歲就送幾隻蝦。麻辣火鍋搭配經典川菜
341,2022/03/06,5.0,瓦法奇朵幾歲送幾隻蝦子有夠猛，帶阿公阿嬤來坐著也會笑的火鍋店
341,2020/07/24,1.0,不知道下面發說服務態度好的是不是打手，但來這裡吃飯，店員臉臭的不得了，上菜速度慢到極致，點餐後一小時才上菜，點火鍋的配料頻頻送錯，餐廳的SOP在那裡呢！！！？菜再美味，在吃之前就沒有那個心情品嚐，有何用？
341,2022/02/28,999,瓦法奇朵台北車站店  台北車站火鍋推薦台北網美火鍋推薦
341,2022/02/20,999,瓦法奇朵超有誠意生日壽星優惠！幾歲生日就送幾隻蝦/蛤蜊，cp值爆高
341,2022/02/13,5.0,瓦法奇朵-當月壽星好禮.幾歲送幾隻蝦/北車CP值爆/火鍋+川菜+甜點/麻辣鍋+酸菜白肉鍋/紅油蒜泥白肉/黑糖珍珠爆漿蛋糕/中西複合式餐廳/台北車站周邊/台大醫院捷運站/228公園/聚餐
341,2021/03/26,999,生日幾歲就送幾隻蝦！痛風壽星浮誇餐低家~瓦法奇朵免費吃蝦蝦
341,2020/07/24,1.0,等等非常久！！！都點餐一小時了，東西都還沒上來，上來之後還全都上錯
341,2020/04/21,999,"W. 瓦法奇朵- 台北車站店,在優雅的咖啡廳中吃火鍋跟川菜,火鍋優惠套餐,川菜買一送一,下午茶優惠套餐組合,讓你聚餐不用花大錢"
341,2020/04/08,4.0,瓦法奇朵｜台北車站｜咖啡廳裡吃麻辣火鍋
341,2020/01/15,999,瓦法奇朵｜平日特定餐點買一送一！北車上班族及學生的最愛！超殺優惠下午茶套餐！來自四川的川菜料理！台北北車餐廳美推薦、台北車站餐廳美推薦、台北車站火鍋推薦、台北車站下午茶推薦
341,2020/01/05,5.0,店長服務佳、服務人員有耐性
341,2019/12/13,999,北車 瓦法奇朵~四川川菜買一送，還有爆漿甜點好過癮
341,2019/12/07,4.0,瓦法奇朵朋友聚餐慶生活動好去處 川菜下午茶四川麻辣火鍋複合式餐廳
341,2019/12/06,5.0,台北車站旁 麻辣鍋半價優惠 川菜買一送一 CP值爆的W.瓦法奇朵
341,2019/11/20,5.0,W.瓦法奇朵台北車站店～誇張！火鍋半價套餐，川菜買一送一，平日御膳四川定買一送一！送爆漿蛋糕、奶茶冰淇淋....老闆真愛送！
341,2019/11/10,4.0,瓦法奇朵-正宗四川麻辣鴛鴦火鍋，北車中西複合式餐廳介紹
341,2019/09/22,4.5,W.瓦法奇朵｜各類帶勁川菜、下午茶爆棚優惠！買一送一讓你輕鬆吃美（完整菜單）
341,2019/09/19,999,【北車複合式咖啡廳】台北中正區捷運台北車站瓦法奇朵Waffogato│四川菜買一送一│咖啡廳中的麻辣火鍋❤跟著Livia受人生❤
341,2019/09/18,999,「台北中正區」能在咖啡廳裡吃火鍋也太幸福了吧∼「瓦法奇朵」店內還有川菜.御膳.涼麵多種品項可以選擇！(含外帶優惠)
341,2019/09/11,999,"台北車站時尚川菜西餐廳！W.瓦法奇朵台北車站店,麻辣火鍋x四川菜買一送一,下午茶蛋糕加購價居然只要元！台北車站麻辣火鍋推薦,台北車站美推薦,台北車站四川料理推薦,"
341,2019/09/08,999,台北車站火鍋。瓦法奇朵～在咖啡館裡品嚐麻辣火鍋，還有四川特色料理買一送一！超值優惠，適合朋友聚會！
341,2019/08/28,4.5,W.瓦法奇朵 台北車站川菜麻辣火鍋道地四川菜買一送一火鍋套餐半價免費吃香濃奶茶冰淇淋不限時餐廳台北車站聚餐約會餐廳!
341,2019/08/27,3.5,川菜買一送一/涼麵加價0元/蛋糕加價元，台北車站美瓦法奇朵
341,2019/08/24,999,台北中正區｜瓦法奇朵Waffogato，夏天就要吃酸酸辣辣的物，正宗四川菜買一送一價錢可愛又超級好吃(附菜單)！
341,2019/08/15,999,台北車站美推薦，川菜料理超狂優惠！四川料理御膳套餐、川菜通通買一送一啦！瓦法奇朵
341,2019/08/13,5.0,W.瓦法奇朵waffogato-麻辣火鍋香辣過癮，平日18:00前御膳買一送一
341,2019/08/06,4.0,瓦法奇朵-WaffogatoI半價火鍋套餐&川菜料理買一送一。大推奶茶冰淇淋。台北車站高CP值咖啡廳
341,2019/08/01,5.0,瓦法奇朵爽辣麻辣鍋半價正宗川菜買一送一還送爆漿蛋糕台北車站不限時餐廳台北最高CP值鴛鴦鍋川菜
341,2019/07/27,5.0,台北美瓦法奇朵同時大啖火鍋川菜大推口水雞乾鍋蝦聚餐推薦買一送一
341,2019/07/25,3.5,話題爆漿蛋糕用送的！超平價麻辣火鍋、正宗四川菜買一送一！「瓦法奇朵」（菜單）
341,2019/07/23,999,W.瓦法奇朵。咖啡廳吃麻辣火鍋配川菜，直接下殺5折，加碼還送你爆漿蛋糕免費吃！
341,2019/07/19,4.0,捷運台北車站美，瓦法奇朵，點火鍋川菜買一送一，還再送爆漿蛋糕一份！
341,2019/07/18,4.0,W.瓦法奇朵｜台北車站美美味道地的川菜買一送一活動中
341,2019/07/10,5.0,👍
341,2019/07/10,5.0,Good
341,2019/07/09,999,瓦法奇朵waffogato，台北車站旁CP值爆表的麻辣鴛鴦火鍋，來店必吃Q彈東坡肉，台北下午茶推薦。台北餐廳推薦．台北麻辣火鍋推薦．台北車站美推薦．台北咖啡廳．咖啡屋．咖啡店．必吃美．個人簡餐套餐．爆漿戚風蛋糕．漸層草莓氣泡飲
341,2019/07/05,4.5,瓦法奇朵－不限時有wifi，一杯飲品＋＄１０送涼麵，兩杯飲品＋＄１送爆漿蛋糕，還有川菜買一送一／不限時咖啡廳／不限時下午茶／川菜、爆漿蛋糕、涼麵
341,2019/07/03,4.5,瓦法奇朵Waffogato網美咖啡廳裡吃正宗大師四川菜超值買一送一還有半價火鍋套餐高CP值今夏最胃！
